GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US370810107023,370810107023,"Block Group 3, Census Tract 107.02, Guilford County, North Carolina",3001,325,1476,224,1329,241,3,8,44,37,0,12,37,39,112,50,7,14,105,45
1500000US370810108001,370810108001,"Block Group 1, Census Tract 108, Guilford County, North Carolina",1113,152,978,167,113,67,0,12,0,12,14,17,8,13,0,12,0,12,0,12
1500000US370810108002,370810108002,"Block Group 2, Census Tract 108, Guilford County, North Carolina",1926,265,1056,194,807,210,0,12,0,12,0,12,55,51,8,17,0,12,8,17
1500000US370810109001,370810109001,"Block Group 1, Census Tract 109, Guilford County, North Carolina",777,284,223,95,518,275,0,12,0,12,0,12,0,12,36,41,0,12,36,41
1500000US370810109002,370810109002,"Block Group 2, Census Tract 109, Guilford County, North Carolina",960,209,623,134,125,103,0,12,132,119,0,12,45,63,35,37,20,33,15,16
1500000US370810110001,370810110001,"Block Group 1, Census Tract 110, Guilford County, North Carolina",911,204,88,98,673,197,9,11,0,12,45,70,96,105,0,12,0,12,0,12
1500000US370810110002,370810110002,"Block Group 2, Census Tract 110, Guilford County, North Carolina",596,136,29,36,542,139,19,28,0,12,0,12,0,12,6,9,6,9,0,12
1500000US370810110003,370810110003,"Block Group 3, Census Tract 110, Guilford County, North Carolina",3568,284,502,157,2927,366,0,12,26,36,5,7,0,12,108,66,5,13,103,64
1500000US370810111011,370810111011,"Block Group 1, Census Tract 111.01, Guilford County, North Carolina",2459,452,292,252,1854,395,0,12,193,138,0,12,25,44,95,96,0,12,95,96
1500000US370810111012,370810111012,"Block Group 2, Census Tract 111.01, Guilford County, North Carolina",1762,527,81,73,1624,496,0,12,0,12,0,12,0,12,57,93,0,12,57,93
1500000US370810111021,370810111021,"Block Group 1, Census Tract 111.02, Guilford County, North Carolina",1403,390,0,12,1349,365,8,14,0,12,0,12,0,12,46,58,8,15,38,55
1500000US370810111022,370810111022,"Block Group 2, Census Tract 111.02, Guilford County, North Carolina",1222,280,12,20,1210,281,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370810112001,370810112001,"Block Group 1, Census Tract 112, Guilford County, North Carolina",1997,407,603,192,1216,412,79,102,63,66,0,12,0,12,36,51,0,12,36,51
1500000US370810112002,370810112002,"Block Group 2, Census Tract 112, Guilford County, North Carolina",763,427,0,12,732,427,0,12,0,12,0,12,0,12,31,49,0,12,31,49
1500000US370810112003,370810112003,"Block Group 3, Census Tract 112, Guilford County, North Carolina",2190,801,173,199,1804,631,0,12,0,12,0,12,0,12,213,244,0,12,213,244
1500000US370810112004,370810112004,"Block Group 4, Census Tract 112, Guilford County, North Carolina",978,445,0,12,958,445,0,12,0,12,0,12,0,12,20,31,0,12,20,31
1500000US370810113001,370810113001,"Block Group 1, Census Tract 113, Guilford County, North Carolina",854,285,82,67,749,264,23,33,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370810113002,370810113002,"Block Group 2, Census Tract 113, Guilford County, North Carolina",942,387,130,197,712,363,0,12,0,12,0,12,75,127,25,33,0,12,25,33
1500000US370810113003,370810113003,"Block Group 3, Census Tract 113, Guilford County, North Carolina",465,196,6,7,445,190,0,12,14,29,0,12,0,12,0,12,0,12,0,12
1500000US370810113004,370810113004,"Block Group 4, Census Tract 113, Guilford County, North Carolina",910,274,0,12,883,270,0,12,0,12,0,12,0,12,27,42,0,12,27,42
1500000US370810114001,370810114001,"Block Group 1, Census Tract 114, Guilford County, North Carolina",953,363,14,16,927,359,0,12,0,12,0,12,0,12,12,20,0,12,12,20
1500000US370810114002,370810114002,"Block Group 2, Census Tract 114, Guilford County, North Carolina",847,390,21,29,794,396,0,12,0,12,0,12,0,12,32,35,0,12,32,35
1500000US370810114003,370810114003,"Block Group 3, Census Tract 114, Guilford County, North Carolina",1535,502,50,44,1464,509,0,12,0,12,0,12,10,21,11,16,0,12,11,16
1500000US370810114004,370810114004,"Block Group 4, Census Tract 114, Guilford County, North Carolina",521,299,0,12,483,285,0,12,0,12,0,12,0,12,38,56,0,12,38,56
1500000US370810114005,370810114005,"Block Group 5, Census Tract 114, Guilford County, North Carolina",645,315,189,131,456,281,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370810114006,370810114006,"Block Group 6, Census Tract 114, Guilford County, North Carolina",839,289,181,174,488,223,0,12,0,12,0,12,0,12,170,146,0,12,170,146
