GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1500000US370810154023,370810154023,"Block Group 3, Census Tract 154.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810154024,370810154024,"Block Group 4, Census Tract 154.02, Guilford County, North Carolina",15.2,19.0,35.2,48.0,15.2,13.7
1500000US370810155001,370810155001,"Block Group 1, Census Tract 155, Guilford County, North Carolina",38.2,26.5,22.1,8.4,40.4,29.9
1500000US370810155002,370810155002,"Block Group 2, Census Tract 155, Guilford County, North Carolina",43.1,24.1,43.1,24.1,-,**
1500000US370810156001,370810156001,"Block Group 1, Census Tract 156, Guilford County, North Carolina",12.0,19.3,9.4,7.6,40.1,52.6
1500000US370810156002,370810156002,"Block Group 2, Census Tract 156, Guilford County, North Carolina",13.7,21.6,12.0,4.5,28.8,26.3
1500000US370810156003,370810156003,"Block Group 3, Census Tract 156, Guilford County, North Carolina",26.5,14.4,28.2,4.7,5.5,19.6
1500000US370810157031,370810157031,"Block Group 1, Census Tract 157.03, Guilford County, North Carolina",49.9,16.9,52.5,70.8,49.7,14.3
1500000US370810157032,370810157032,"Block Group 2, Census Tract 157.03, Guilford County, North Carolina",7.8,0.1,-,**,-,**
1500000US370810157033,370810157033,"Block Group 3, Census Tract 157.03, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810157041,370810157041,"Block Group 1, Census Tract 157.04, Guilford County, North Carolina",33.6,25.5,33.9,35.4,30.8,28.2
1500000US370810157042,370810157042,"Block Group 2, Census Tract 157.04, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810157051,370810157051,"Block Group 1, Census Tract 157.05, Guilford County, North Carolina",25.0,19.8,-,**,25.0,19.8
1500000US370810157052,370810157052,"Block Group 2, Census Tract 157.05, Guilford County, North Carolina",42.4,2.2,42.3,2.4,74.3,51.2
1500000US370810157053,370810157053,"Block Group 3, Census Tract 157.05, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810157061,370810157061,"Block Group 1, Census Tract 157.06, Guilford County, North Carolina",48.5,6.0,48.5,8.6,-,**
1500000US370810157062,370810157062,"Block Group 2, Census Tract 157.06, Guilford County, North Carolina",11.9,24.2,-,**,-,**
1500000US370810157071,370810157071,"Block Group 1, Census Tract 157.07, Guilford County, North Carolina",53.8,48.8,53.8,39.3,-,**
1500000US370810157072,370810157072,"Block Group 2, Census Tract 157.07, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810157073,370810157073,"Block Group 3, Census Tract 157.07, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810158001,370810158001,"Block Group 1, Census Tract 158, Guilford County, North Carolina",42.3,26.3,42.5,50.8,40.8,35.9
1500000US370810158002,370810158002,"Block Group 2, Census Tract 158, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810158003,370810158003,"Block Group 3, Census Tract 158, Guilford County, North Carolina",5.8,27.4,36.5,16.9,5.0,1.3
1500000US370810159011,370810159011,"Block Group 1, Census Tract 159.01, Guilford County, North Carolina",35.1,38.6,12.4,0.3,45.1,11.5
1500000US370810159012,370810159012,"Block Group 2, Census Tract 159.01, Guilford County, North Carolina",16.9,0.3,-,**,16.4,0.1
1500000US370810159021,370810159021,"Block Group 1, Census Tract 159.02, Guilford County, North Carolina",46.6,9.9,-,**,60.3,24.8
1500000US370810160031,370810160031,"Block Group 1, Census Tract 160.03, Guilford County, North Carolina",18.2,8.3,23.4,21.4,14.7,6.0
1500000US370810160032,370810160032,"Block Group 2, Census Tract 160.03, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810160051,370810160051,"Block Group 1, Census Tract 160.05, Guilford County, North Carolina",36.3,16.3,48.2,25.6,36.2,25.1
1500000US370810160061,370810160061,"Block Group 1, Census Tract 160.06, Guilford County, North Carolina",41.2,77.6,41.7,15.0,3.8,44.1
1500000US370810160062,370810160062,"Block Group 2, Census Tract 160.06, Guilford County, North Carolina",14.7,5.1,13.2,15.8,20.0,2.6
1500000US370810160071,370810160071,"Block Group 1, Census Tract 160.07, Guilford County, North Carolina",42.8,9.3,-,**,33.8,19.2
1500000US370810160072,370810160072,"Block Group 2, Census Tract 160.07, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810160073,370810160073,"Block Group 3, Census Tract 160.07, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810160081,370810160081,"Block Group 1, Census Tract 160.08, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810160082,370810160082,"Block Group 2, Census Tract 160.08, Guilford County, North Carolina",44.9,9.4,-,**,39.6,31.3
1500000US370810160083,370810160083,"Block Group 3, Census Tract 160.08, Guilford County, North Carolina",16.5,0.2,-,**,16.5,0.2
1500000US370810160091,370810160091,"Block Group 1, Census Tract 160.09, Guilford County, North Carolina",34.2,34.2,35.5,6.6,16.3,29.4
1500000US370810160092,370810160092,"Block Group 2, Census Tract 160.09, Guilford County, North Carolina",30.5,63.6,11.3,21.1,49.7,71.8
1500000US370810160101,370810160101,"Block Group 1, Census Tract 160.10, Guilford County, North Carolina",27.1,10.1,33.5,15.9,21.7,9.8
1500000US370810160102,370810160102,"Block Group 2, Census Tract 160.10, Guilford County, North Carolina",15.5,20.2,5.4,43.7,31.1,27.1
1500000US370810160111,370810160111,"Block Group 1, Census Tract 160.11, Guilford County, North Carolina",24.4,12.1,3.0,37.8,24.4,18.8
1500000US370810160112,370810160112,"Block Group 2, Census Tract 160.11, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810160113,370810160113,"Block Group 3, Census Tract 160.11, Guilford County, North Carolina",29.4,0.2,-,**,29.1,46.1
1500000US370810160114,370810160114,"Block Group 4, Census Tract 160.11, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810161011,370810161011,"Block Group 1, Census Tract 161.01, Guilford County, North Carolina",62.0,47.1,-,**,43.3,66.8
1500000US370810161012,370810161012,"Block Group 2, Census Tract 161.01, Guilford County, North Carolina",29.2,15.1,29.8,13.0,20.1,1.9
1500000US370810161021,370810161021,"Block Group 1, Census Tract 161.02, Guilford County, North Carolina",15.7,16.0,28.8,1.6,15.1,4.1
1500000US370810161022,370810161022,"Block Group 2, Census Tract 161.02, Guilford County, North Carolina",18.5,30.0,32.2,19.4,10.7,28.0
1500000US370810161023,370810161023,"Block Group 3, Census Tract 161.02, Guilford County, North Carolina",51.9,65.4,-,**,-,**
1500000US370810161031,370810161031,"Block Group 1, Census Tract 161.03, Guilford County, North Carolina",44.5,0.2,44.4,3.9,-,**
1500000US370810161032,370810161032,"Block Group 2, Census Tract 161.03, Guilford County, North Carolina",20.5,0.1,-,**,-,**
1500000US370810161033,370810161033,"Block Group 3, Census Tract 161.03, Guilford County, North Carolina",11.8,0.2,-,**,-,**
1500000US370810162011,370810162011,"Block Group 1, Census Tract 162.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810162012,370810162012,"Block Group 2, Census Tract 162.01, Guilford County, North Carolina",15.7,11.0,15.5,4.3,15.9,46.9
1500000US370810162031,370810162031,"Block Group 1, Census Tract 162.03, Guilford County, North Carolina",28.9,43.5,47.3,0.4,16.9,32.7
1500000US370810162041,370810162041,"Block Group 1, Census Tract 162.04, Guilford County, North Carolina",9.7,5.2,10.6,5.8,6.5,33.2
1500000US370810162051,370810162051,"Block Group 1, Census Tract 162.05, Guilford County, North Carolina",42.1,13.5,39.5,16.5,42.1,19.3
1500000US370810163031,370810163031,"Block Group 1, Census Tract 163.03, Guilford County, North Carolina",42.9,11.6,49.7,6.7,42.6,11.3
1500000US370810163032,370810163032,"Block Group 2, Census Tract 163.03, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810163041,370810163041,"Block Group 1, Census Tract 163.04, Guilford County, North Carolina",18.4,25.9,18.7,26.5,16.8,32.5
1500000US370810163051,370810163051,"Block Group 1, Census Tract 163.05, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810163052,370810163052,"Block Group 2, Census Tract 163.05, Guilford County, North Carolina",42.8,19.2,29.8,34.0,-,**
1500000US370810163061,370810163061,"Block Group 1, Census Tract 163.06, Guilford County, North Carolina",26.2,18.5,11.1,1.5,26.6,11.8
1500000US370810164051,370810164051,"Block Group 1, Census Tract 164.05, Guilford County, North Carolina",19.9,11.5,19.7,5.4,33.3,26.2
1500000US370810164061,370810164061,"Block Group 1, Census Tract 164.06, Guilford County, North Carolina",40.5,12.8,41.2,8.6,36.6,20.8
1500000US370810164071,370810164071,"Block Group 1, Census Tract 164.07, Guilford County, North Carolina",24.1,20.6,48.7,12.0,19.0,1.7
1500000US370810164072,370810164072,"Block Group 2, Census Tract 164.07, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810164081,370810164081,"Block Group 1, Census Tract 164.08, Guilford County, North Carolina",48.1,65.0,-,**,18.4,44.5
1500000US370810164091,370810164091,"Block Group 1, Census Tract 164.09, Guilford County, North Carolina",47.1,4.7,-,**,45.1,58.6
