GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1500000US370810142003,370810142003,"Block Group 3, Census Tract 142, Guilford County, North Carolina",60.3,10.4,60.2,30.2,73.0,30.8
1500000US370810142004,370810142004,"Block Group 4, Census Tract 142, Guilford County, North Carolina",63.6,19.3,-,**,63.8,8.2
1500000US370810143001,370810143001,"Block Group 1, Census Tract 143, Guilford County, North Carolina",29.0,7.9,28.0,16.0,29.0,6.6
1500000US370810143002,370810143002,"Block Group 2, Census Tract 143, Guilford County, North Carolina",40.0,2.8,-,**,-,**
1500000US370810143003,370810143003,"Block Group 3, Census Tract 143, Guilford County, North Carolina",39.9,23.8,22.3,26.8,52.8,28.3
1500000US370810143004,370810143004,"Block Group 4, Census Tract 143, Guilford County, North Carolina",51.3,5.0,57.7,16.4,50.0,2.8
1500000US370810144061,370810144061,"Block Group 1, Census Tract 144.06, Guilford County, North Carolina",50.6,6.4,47.3,11.4,50.9,4.6
1500000US370810144071,370810144071,"Block Group 1, Census Tract 144.07, Guilford County, North Carolina",42.9,3.9,39.7,12.8,43.0,9.9
1500000US370810144072,370810144072,"Block Group 2, Census Tract 144.07, Guilford County, North Carolina",52.9,5.9,52.3,4.4,55.5,6.8
1500000US370810144073,370810144073,"Block Group 3, Census Tract 144.07, Guilford County, North Carolina",43.2,13.7,31.6,30.1,45.1,14.9
1500000US370810144081,370810144081,"Block Group 1, Census Tract 144.08, Guilford County, North Carolina",53.4,10.7,56.1,4.0,45.4,14.5
1500000US370810144091,370810144091,"Block Group 1, Census Tract 144.09, Guilford County, North Carolina",47.3,7.7,46.7,7.6,53.5,14.3
1500000US370810144092,370810144092,"Block Group 2, Census Tract 144.09, Guilford County, North Carolina",52.5,10.3,40.5,31.1,53.6,8.9
1500000US370810144101,370810144101,"Block Group 1, Census Tract 144.10, Guilford County, North Carolina",40.4,5.3,38.4,18.8,40.5,8.3
1500000US370810144102,370810144102,"Block Group 2, Census Tract 144.10, Guilford County, North Carolina",59.1,3.8,59.6,6.0,58.4,4.8
1500000US370810144103,370810144103,"Block Group 3, Census Tract 144.10, Guilford County, North Carolina",41.0,13.5,33.8,6.6,47.3,11.0
1500000US370810144111,370810144111,"Block Group 1, Census Tract 144.11, Guilford County, North Carolina",22.1,3.8,37.5,12.7,21.4,0.6
1500000US370810144112,370810144112,"Block Group 2, Census Tract 144.11, Guilford County, North Carolina",48.6,12.5,46.8,26.1,49.0,9.8
1500000US370810144113,370810144113,"Block Group 3, Census Tract 144.11, Guilford County, North Carolina",46.0,14.5,46.3,17.5,39.8,34.8
1500000US370810144121,370810144121,"Block Group 1, Census Tract 144.12, Guilford County, North Carolina",52.6,6.2,45.4,6.1,54.9,2.2
1500000US370810144122,370810144122,"Block Group 2, Census Tract 144.12, Guilford County, North Carolina",67.4,12.7,58.3,18.9,75.6,13.4
1500000US370810145011,370810145011,"Block Group 1, Census Tract 145.01, Guilford County, North Carolina",50.4,7.6,49.1,7.1,66.5,20.1
1500000US370810145012,370810145012,"Block Group 2, Census Tract 145.01, Guilford County, North Carolina",48.0,8.1,42.0,12.4,48.9,4.2
1500000US370810145021,370810145021,"Block Group 1, Census Tract 145.02, Guilford County, North Carolina",38.5,10.2,38.8,26.6,34.8,16.0
1500000US370810145022,370810145022,"Block Group 2, Census Tract 145.02, Guilford County, North Carolina",50.6,21.1,44.9,22.8,59.4,24.5
1500000US370810145031,370810145031,"Block Group 1, Census Tract 145.03, Guilford County, North Carolina",49.7,19.1,49.4,20.2,54.5,32.8
1500000US370810145032,370810145032,"Block Group 2, Census Tract 145.03, Guilford County, North Carolina",22.0,24.1,43.6,36.5,21.9,24.6
1500000US370810151001,370810151001,"Block Group 1, Census Tract 151, Guilford County, North Carolina",46.7,8.8,44.5,9.4,49.4,9.7
1500000US370810151002,370810151002,"Block Group 2, Census Tract 151, Guilford County, North Carolina",49.1,3.2,48.9,3.6,49.3,4.2
1500000US370810152001,370810152001,"Block Group 1, Census Tract 152, Guilford County, North Carolina",30.3,6.5,30.2,14.7,31.1,6.8
1500000US370810152002,370810152002,"Block Group 2, Census Tract 152, Guilford County, North Carolina",50.3,13.8,56.2,13.4,48.2,16.0
1500000US370810152003,370810152003,"Block Group 3, Census Tract 152, Guilford County, North Carolina",33.8,3.9,36.0,3.5,31.9,4.7
1500000US370810152004,370810152004,"Block Group 4, Census Tract 152, Guilford County, North Carolina",45.9,8.4,45.8,10.8,49.5,12.0
1500000US370810153001,370810153001,"Block Group 1, Census Tract 153, Guilford County, North Carolina",50.2,8.0,54.0,10.5,48.0,10.7
1500000US370810153002,370810153002,"Block Group 2, Census Tract 153, Guilford County, North Carolina",42.9,9.4,39.4,15.0,45.1,10.5
1500000US370810153003,370810153003,"Block Group 3, Census Tract 153, Guilford County, North Carolina",37.5,19.7,45.1,15.9,29.6,21.8
1500000US370810154011,370810154011,"Block Group 1, Census Tract 154.01, Guilford County, North Carolina",34.3,7.9,39.5,10.4,33.1,5.1
1500000US370810154012,370810154012,"Block Group 2, Census Tract 154.01, Guilford County, North Carolina",39.1,9.1,39.3,10.3,35.9,17.9
1500000US370810154021,370810154021,"Block Group 1, Census Tract 154.02, Guilford County, North Carolina",57.8,9.5,54.8,7.2,60.8,8.6
1500000US370810154022,370810154022,"Block Group 2, Census Tract 154.02, Guilford County, North Carolina",47.5,4.1,47.6,6.5,47.0,5.7
1500000US370810154023,370810154023,"Block Group 3, Census Tract 154.02, Guilford County, North Carolina",48.7,30.5,19.0,47.6,60.2,12.4
1500000US370810154024,370810154024,"Block Group 4, Census Tract 154.02, Guilford County, North Carolina",62.2,11.2,64.2,13.7,60.4,9.6
1500000US370810155001,370810155001,"Block Group 1, Census Tract 155, Guilford County, North Carolina",41.5,3.9,43.7,4.5,37.5,6.3
1500000US370810155002,370810155002,"Block Group 2, Census Tract 155, Guilford County, North Carolina",57.1,10.5,55.3,11.6,57.3,10.0
1500000US370810156001,370810156001,"Block Group 1, Census Tract 156, Guilford County, North Carolina",41.6,5.0,41.1,5.7,42.7,6.3
1500000US370810156002,370810156002,"Block Group 2, Census Tract 156, Guilford County, North Carolina",44.9,7.2,45.4,9.9,44.7,7.0
1500000US370810156003,370810156003,"Block Group 3, Census Tract 156, Guilford County, North Carolina",46.3,0.6,47.4,7.9,46.1,8.2
1500000US370810157031,370810157031,"Block Group 1, Census Tract 157.03, Guilford County, North Carolina",56.5,3.6,43.8,18.0,64.7,9.3
1500000US370810157032,370810157032,"Block Group 2, Census Tract 157.03, Guilford County, North Carolina",47.0,8.5,49.4,5.4,40.1,17.7
1500000US370810157033,370810157033,"Block Group 3, Census Tract 157.03, Guilford County, North Carolina",31.9,9.0,42.6,16.6,31.4,4.9
1500000US370810157041,370810157041,"Block Group 1, Census Tract 157.04, Guilford County, North Carolina",49.7,3.9,48.7,4.7,50.7,4.0
1500000US370810157042,370810157042,"Block Group 2, Census Tract 157.04, Guilford County, North Carolina",37.4,10.3,35.0,6.1,47.6,16.5
1500000US370810157051,370810157051,"Block Group 1, Census Tract 157.05, Guilford County, North Carolina",41.7,20.2,29.3,16.5,62.3,14.7
1500000US370810157052,370810157052,"Block Group 2, Census Tract 157.05, Guilford County, North Carolina",32.8,3.7,34.3,9.8,28.9,8.7
1500000US370810157053,370810157053,"Block Group 3, Census Tract 157.05, Guilford County, North Carolina",29.9,9.7,27.8,3.8,38.5,31.6
1500000US370810157061,370810157061,"Block Group 1, Census Tract 157.06, Guilford County, North Carolina",51.0,2.5,50.5,3.9,51.7,2.9
1500000US370810157062,370810157062,"Block Group 2, Census Tract 157.06, Guilford County, North Carolina",35.8,3.4,36.6,6.4,35.3,1.7
1500000US370810157071,370810157071,"Block Group 1, Census Tract 157.07, Guilford County, North Carolina",42.7,6.8,38.5,8.6,43.6,5.2
1500000US370810157072,370810157072,"Block Group 2, Census Tract 157.07, Guilford County, North Carolina",56.0,11.1,48.5,27.4,56.3,2.3
1500000US370810157073,370810157073,"Block Group 3, Census Tract 157.07, Guilford County, North Carolina",56.4,9.5,51.4,11.1,56.6,7.9
1500000US370810158001,370810158001,"Block Group 1, Census Tract 158, Guilford County, North Carolina",44.0,5.7,43.5,7.8,44.3,6.8
1500000US370810158002,370810158002,"Block Group 2, Census Tract 158, Guilford County, North Carolina",42.9,9.8,45.1,10.0,37.3,18.1
1500000US370810158003,370810158003,"Block Group 3, Census Tract 158, Guilford County, North Carolina",43.3,6.7,42.5,7.2,44.5,8.4
1500000US370810159011,370810159011,"Block Group 1, Census Tract 159.01, Guilford County, North Carolina",38.2,7.2,35.8,9.9,39.6,7.4
1500000US370810159012,370810159012,"Block Group 2, Census Tract 159.01, Guilford County, North Carolina",43.6,8.3,38.1,13.1,52.2,6.0
1500000US370810159021,370810159021,"Block Group 1, Census Tract 159.02, Guilford County, North Carolina",44.7,3.5,43.7,2.4,46.5,3.5
1500000US370810160031,370810160031,"Block Group 1, Census Tract 160.03, Guilford County, North Carolina",44.3,9.2,49.5,3.3,37.4,4.2
1500000US370810160032,370810160032,"Block Group 2, Census Tract 160.03, Guilford County, North Carolina",44.4,7.4,37.0,12.9,49.4,6.5
1500000US370810160051,370810160051,"Block Group 1, Census Tract 160.05, Guilford County, North Carolina",47.5,4.6,45.1,8.7,47.9,8.3
1500000US370810160061,370810160061,"Block Group 1, Census Tract 160.06, Guilford County, North Carolina",35.1,6.7,34.2,4.1,39.1,5.6
1500000US370810160062,370810160062,"Block Group 2, Census Tract 160.06, Guilford County, North Carolina",49.1,10.3,44.3,8.4,53.3,11.2
1500000US370810160071,370810160071,"Block Group 1, Census Tract 160.07, Guilford County, North Carolina",54.9,4.0,50.3,13.9,56.8,6.6
1500000US370810160072,370810160072,"Block Group 2, Census Tract 160.07, Guilford County, North Carolina",43.9,11.6,44.5,18.0,43.4,13.2
1500000US370810160073,370810160073,"Block Group 3, Census Tract 160.07, Guilford County, North Carolina",45.3,15.6,44.8,18.2,45.7,17.2
1500000US370810160081,370810160081,"Block Group 1, Census Tract 160.08, Guilford County, North Carolina",37.3,4.9,34.6,2.2,40.4,4.6
1500000US370810160082,370810160082,"Block Group 2, Census Tract 160.08, Guilford County, North Carolina",37.8,2.8,33.1,2.9,40.3,9.6
1500000US370810160083,370810160083,"Block Group 3, Census Tract 160.08, Guilford County, North Carolina",49.2,8.5,43.7,14.5,50.0,6.4
1500000US370810160091,370810160091,"Block Group 1, Census Tract 160.09, Guilford County, North Carolina",52.9,7.0,44.9,12.6,59.9,7.9
