GEO.id	GEO.id2	GEO.display-label	HD01_VD01	HD02_VD01
1500000US370810119041	3.7081E+11	"Block Group 1, Census Tract 119.04, Guilford County, North Carolina"	2018	318
1500000US370810119042	3.7081E+11	"Block Group 2, Census Tract 119.04, Guilford County, North Carolina"	2695	337
1500000US370810119051	3.7081E+11	"Block Group 1, Census Tract 119.05, Guilford County, North Carolina"	1722	421
1500000US370810119052	3.7081E+11	"Block Group 2, Census Tract 119.05, Guilford County, North Carolina"	945	270
1500000US370810119053	3.7081E+11	"Block Group 3, Census Tract 119.05, Guilford County, North Carolina"	1709	419
1500000US370810125031	3.7081E+11	"Block Group 1, Census Tract 125.03, Guilford County, North Carolina"	1498	381
1500000US370810125032	3.7081E+11	"Block Group 2, Census Tract 125.03, Guilford County, North Carolina"	2922	324
1500000US370810125041	3.7081E+11	"Block Group 1, Census Tract 125.04, Guilford County, North Carolina"	1523	186
1500000US370810125042	3.7081E+11	"Block Group 2, Census Tract 125.04, Guilford County, North Carolina"	1880	377
1500000US370810125051	3.7081E+11	"Block Group 1, Census Tract 125.05, Guilford County, North Carolina"	1597	229
1500000US370810125052	3.7081E+11	"Block Group 2, Census Tract 125.05, Guilford County, North Carolina"	1073	149
1500000US370810125053	3.7081E+11	"Block Group 3, Census Tract 125.05, Guilford County, North Carolina"	1973	232
1500000US370810125081	3.7081E+11	"Block Group 1, Census Tract 125.08, Guilford County, North Carolina"	664	145
1500000US370810125082	3.7081E+11	"Block Group 2, Census Tract 125.08, Guilford County, North Carolina"	1136	159
1500000US370810125083	3.7081E+11	"Block Group 3, Census Tract 125.08, Guilford County, North Carolina"	562	123
1500000US370810125084	3.7081E+11	"Block Group 4, Census Tract 125.08, Guilford County, North Carolina"	1122	215
1500000US370810125091	3.7081E+11	"Block Group 1, Census Tract 125.09, Guilford County, North Carolina"	2440	142
1500000US370810125101	3.7081E+11	"Block Group 1, Census Tract 125.10, Guilford County, North Carolina"	1504	166
1500000US370810125102	3.7081E+11	"Block Group 2, Census Tract 125.10, Guilford County, North Carolina"	1601	179
1500000US370810125111	3.7081E+11	"Block Group 1, Census Tract 125.11, Guilford County, North Carolina"	1644	291
1500000US370810125112	3.7081E+11	"Block Group 2, Census Tract 125.11, Guilford County, North Carolina"	1531	302
